"","data.ST","data.AGEP","data.CIT","data.COW","data.ENG","data.LANX","data.SCHL","data.SEX","data.ANC1P","data.ANC2P","data.FOD1P","data.FOD2P","data.LANP","data.NATIVITY","data.OCCP","data.RAC1P"
"105323",4,22,1,NA,NA,2,16,1,999,999,NA,NA,NA,1,NA,1
"272788",6,67,5,NA,NA,2,1,1,706,999,NA,NA,NA,2,NA,6
"533793",8,70,1,1,NA,2,18,2,22,88,NA,NA,NA,1,4150,1
"648309",12,61,1,1,NA,2,18,2,51,999,NA,NA,NA,1,5240,1
"1423809",25,27,1,1,NA,2,16,2,999,999,NA,NA,NA,1,120,9
"1449961",26,65,3,1,1,1,18,2,128,999,NA,NA,654,1,4640,1
"900377",13,48,1,1,NA,2,16,1,902,999,NA,NA,NA,1,430,2
"1343169",24,22,1,1,NA,2,16,1,999,999,NA,NA,NA,1,4750,1
"417923",6,27,1,1,NA,2,21,1,32,999,6007,NA,NA,1,6520,1
"1461689",26,8,1,NA,NA,2,6,2,939,999,NA,NA,NA,1,NA,1
"980700",17,48,1,3,NA,2,21,2,50,22,5098,NA,NA,1,5320,1
"1173422",20,35,1,2,NA,2,22,2,999,999,2304,NA,NA,1,2310,1
"1235779",21,20,1,1,NA,2,17,2,924,999,NA,NA,NA,1,9620,1
"229771",6,14,1,NA,NA,2,11,1,22,50,NA,NA,NA,1,NA,1
"108644",4,59,1,NA,NA,2,21,1,51,999,5301,NA,NA,1,NA,1
"570570",8,85,1,NA,NA,2,19,2,32,999,NA,NA,NA,1,NA,1
"1334118",24,30,5,NA,3,1,8,2,290,999,NA,NA,625,2,NA,1
"264868",6,68,4,6,2,1,23,1,785,999,3600,NA,728,2,3060,6
"121702",5,21,1,1,NA,2,18,2,924,940,NA,NA,NA,1,4720,1
"1133270",18,15,1,NA,NA,2,11,2,32,999,NA,NA,NA,1,NA,1
"186360",6,94,4,NA,1,1,13,2,999,999,NA,NA,742,2,NA,6
"1351230",24,54,1,6,NA,2,16,1,22,999,NA,NA,NA,1,4700,1
"593469",9,90,1,NA,NA,2,16,2,178,999,NA,NA,NA,1,NA,9
"857113",13,6,1,NA,NA,2,3,2,902,999,NA,NA,NA,1,NA,2
"1491024",26,71,1,1,NA,2,22,1,22,21,6206,NA,NA,1,4850,1
"200763",6,27,1,1,NA,2,16,1,902,999,NA,NA,NA,1,7200,2
"202879",6,40,5,1,3,1,9,2,210,999,NA,NA,625,2,4030,1
"223961",6,24,5,1,NA,2,21,2,22,50,5200,NA,NA,2,4030,1
"1254449",22,43,1,1,NA,2,21,2,26,999,2304,NA,NA,1,2310,1
"1287260",22,55,1,6,NA,2,11,2,999,999,NA,NA,NA,1,4230,1
"1550521",27,60,1,NA,NA,2,20,1,22,50,NA,NA,NA,1,NA,1
"256684",6,53,5,1,3,1,9,1,210,999,NA,NA,625,2,6050,1
"122247",5,35,1,NA,NA,2,19,2,999,999,NA,NA,NA,1,NA,1
"1220283",21,61,1,1,NA,2,18,1,50,51,NA,NA,NA,1,7000,1
"783644",12,37,1,1,NA,2,19,1,32,3,NA,NA,NA,1,7420,1
"587298",9,53,4,2,1,1,19,2,84,999,NA,NA,629,2,4620,1
"230882",6,75,1,NA,NA,2,10,2,210,999,NA,NA,NA,1,NA,1
"218024",6,22,1,5,NA,2,19,1,999,999,NA,NA,NA,1,3645,1
"1048073",17,55,1,1,NA,2,21,2,142,999,6107,NA,NA,1,3255,1
"1213088",21,4,1,NA,NA,NA,1,1,50,32,NA,NA,NA,1,NA,1
"587600",9,14,1,NA,NA,2,10,2,50,22,NA,NA,NA,1,NA,1
"141278",5,0,1,NA,NA,NA,NA,2,939,999,NA,NA,NA,1,NA,1
"965542",17,50,1,7,NA,2,22,1,740,999,2601,NA,NA,1,850,6
"1001787",17,17,1,6,NA,2,14,1,917,50,NA,NA,NA,1,4250,1
"750103",12,41,1,1,NA,2,16,1,223,999,NA,NA,NA,1,4220,2
"1572467",27,69,1,1,NA,2,21,1,50,999,6200,NA,NA,1,8740,1
"756314",12,53,1,5,NA,2,22,2,32,999,6203,NA,NA,1,630,1
"410284",6,37,1,1,NA,2,21,2,190,999,5200,NA,NA,1,10,1
"759733",12,2,1,NA,NA,NA,NA,1,902,999,NA,NA,NA,1,NA,2
"1295695",23,25,1,1,NA,2,20,1,26,999,NA,NA,NA,1,7200,1
"219993",6,25,5,NA,NA,2,21,2,706,999,6203,NA,NA,2,NA,6
"327426",6,12,5,NA,1,1,10,2,148,999,NA,NA,639,2,NA,1
"825592",13,58,4,7,2,1,19,1,706,999,NA,NA,708,2,310,6
"654553",12,6,1,NA,1,1,3,2,271,999,NA,NA,625,1,NA,1
"167609",6,50,4,1,2,1,21,2,706,999,6000,NA,711,2,2600,6
"1355805",24,44,1,1,NA,2,22,1,50,999,5006,NA,NA,1,8830,1
"1386599",25,41,1,1,NA,2,21,1,50,999,6200,NA,NA,1,20,1
"623283",11,18,1,NA,NA,2,18,1,900,999,NA,NA,NA,1,NA,2
"1157766",19,55,1,4,NA,2,18,2,939,999,NA,NA,NA,1,430,1
"290662",6,39,1,1,NA,2,22,2,750,939,4006,NA,NA,1,2600,6
"555355",8,55,1,1,NA,2,16,2,50,26,NA,NA,NA,1,4200,1
"904731",13,28,1,1,NA,2,19,2,903,999,NA,NA,NA,1,3420,2
"629827",12,11,1,NA,NA,2,7,1,261,999,NA,NA,NA,1,NA,1
